problem_type;initial_state;goal_state;cstar
tile;[3, 7, 4, 9, 8, 2, 5, 6, 0, 1, 11, 10];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];34
tile;[6, 3, 4, 0, 9, 7, 1, 8, 11, 2, 5, 10];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];33
tile;[5, 7, 2, 9, 10, 6, 4, 8, 3, 1, 11, 0];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];37
tile;[2, 6, 4, 7, 11, 10, 5, 8, 1, 9, 3, 0];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];35
tile;[11, 8, 7, 4, 10, 2, 0, 6, 9, 1, 5, 3];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];40
tile;[8, 10, 5, 2, 11, 1, 6, 0, 4, 9, 7, 3];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];35
tile;[6, 10, 4, 2, 5, 7, 8, 11, 1, 0, 3, 9];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];39
tile;[11, 0, 3, 2, 7, 5, 9, 4, 10, 6, 1, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];33
tile;[8, 0, 7, 4, 5, 10, 2, 11, 9, 1, 3, 6];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];35
tile;[7, 5, 2, 8, 9, 6, 11, 3, 4, 0, 1, 10];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];37
